Strassenklasse,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
Bundesstrasse,21,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,weiblich,135,Auto,Regen
nicht klassifiziert,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,323,Auto,Gut
Bundesstrasse,79,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1128,Auto,Gut
nicht klassifiziert,19,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,204,Bus,Gut
nicht klassifiziert,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1235,Auto,Gut
nicht klassifiziert,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,2245,Auto,Gut
Bundesstrasse,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1230,Auto,Gut
Bundesstrasse,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,555,Fahrrad,Regen
Bundesstrasse,84,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1053,Auto,Gut
nicht klassifiziert,86,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1700,Auto,Gut
nicht klassifiziert,47,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,weiblich,1930,Auto,Regen
nicht klassifiziert,10,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1515,Auto,Gut
nicht klassifiziert,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1015,Auto,Gut
Bundesstrasse,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1140,Auto,Gut
nicht klassifiziert,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,Frost/ Ice,männlich,735,Mottorrad (50cc),Gut
nicht klassifiziert,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1610,Auto,Gut
nicht klassifiziert,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,915,Fahrrad,Gut
Bundesstrasse,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1448,Transporter,Gut
Bundesstrasse,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1549,Auto,Gut
Landesstrasse,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,Frost / Eis,männlich,2110,Auto,Gut
Bundesstrasse,21,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1330,Auto,Gut
nicht klassifiziert,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,730,Fahrrad,Regen
Bundesstrasse,57,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1912,Auto,Gut
Bundesstrasse,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1420,Fahrrad,Gut
Bundesstrasse,13,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1620,Auto,Gut
nicht klassifiziert,3,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1235,Auto,Gut
nicht klassifiziert,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1110,Auto,Gut
nicht klassifiziert,28,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2135,Auto,Gut
Bundesstrasse,51,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,630,Mottorrad (500cc),Gut
nicht klassifiziert,26,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1240,Auto,Gut
Bundesstrasse,30,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,1740,Auto,Gut
Bundesstrasse,14,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1644,Fahrrad,Gut
Bundesstrasse,30,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,2130,Auto,Andere
Autobahn,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,1635,Auto,Gut
nicht klassifiziert,3,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1530,Auto,Gut (starker Wind)
Autobahn,23,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,2015,Auto,Regen
Bundesstrasse,69,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1250,Mottorrad (500cc),Gut
Landesstrasse,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1425,Auto,Gut
nicht klassifiziert,41,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1410,Auto,Nebel
nicht klassifiziert,22,Fahrer,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2130,Fahrrad,Gut
nicht klassifiziert,45,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1905,Auto,Gut
nicht klassifiziert,31,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1342,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1530,Fahrrad,Gut
nicht klassifiziert,47,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1700,Auto,Gut
nicht klassifiziert,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,männlich,935,Taxi,Regen
nicht klassifiziert,11,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,815,Auto,Gut
Bundesstrasse,25,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1840,Auto,Gut
Bundesstrasse,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1414,Transporter,Gut
nicht klassifiziert,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1350,Mottorrad (50cc),Gut
nicht klassifiziert,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,245,Auto,Gut
Bundesstrasse,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1435,Auto,Gut
nicht klassifiziert,25,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1035,Mottorrad (50cc),Gut
nicht klassifiziert,14,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,2225,Auto,Gut
Bundesstrasse,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,230,Taxi,Gut
nicht klassifiziert,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,männlich,1835,Auto,Gut
Bundesstrasse,38,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1500,Auto,Gut
Kraftfahrzeugstrasse,59,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1200,Auto,Gut
Autobahn,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,nass / feucht,weiblich,1131,Auto,Gut (starker Wind)
nicht klassifiziert,28,Fahrer,3,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,539,Auto,Regen
Autobahn,42,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,3,1,trocken,männlich,1825,Auto,Gut
Bundesstrasse,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,männlich,1230,Auto,Gut
nicht klassifiziert,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1154,Fahrrad,Gut
nicht klassifiziert,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1003,Auto,Gut
Bundesstrasse,12,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,1835,Auto,Gut
Bundesstrasse,31,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,238,Taxi,Gut
nicht klassifiziert,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,1805,Auto,Gut
nicht klassifiziert,9,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1714,Fahrrad,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1515,Auto,Gut
nicht klassifiziert,4,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,nass / feucht,männlich,1725,Bus,Regen
Autobahn,53,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1735,Auto,Gut
nicht klassifiziert,57,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1633,Bus,Gut
Bundesstrasse,34,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1250,Transporter,Gut
nicht klassifiziert,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,750,Auto,Gut
Autobahn,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,2030,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1320,Mottorrad (125cc),Regen
nicht klassifiziert,45,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2050,Taxi,Gut
nicht klassifiziert,5,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1605,Auto,Gut
Bundesstrasse,38,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1250,Bus,Gut
nicht klassifiziert,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1325,Auto,Gut
Bundesstrasse,29,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,nass / feucht,männlich,1630,Auto,Gut
Bundesstrasse,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,1700,Auto,Gut
Bundesstrasse,21,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1930,Fahrrad,Gut
Bundesstrasse,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1930,Fahrrad,Gut
Bundesstrasse,74,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,männlich,1725,Auto,Regen
Bundesstrasse,86,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1320,Bus,Gut
nicht klassifiziert,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1135,Auto,Regen
Landesstrasse,90,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,männlich,820,Fahrrad,Gut
Bundesstrasse,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,706,Auto,Gut
nicht klassifiziert,19,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2125,Auto,Gut
Bundesstrasse,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1220,Auto,Gut
nicht klassifiziert,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,845,Auto,Gut
nicht klassifiziert,30,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1548,Auto,Gut
Bundesstrasse,44,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,936,Bus,Gut
nicht klassifiziert,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1910,Auto,Gut
Bundesstrasse,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1100,Taxi,Gut
nicht klassifiziert,80,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1237,Auto,Gut
nicht klassifiziert,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,3,trocken,weiblich,2157,Auto,Gut
Bundesstrasse,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2355,Auto,Gut
Bundesstrasse,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1845,Auto,Gut
nicht klassifiziert,25,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2205,Auto,Gut
Bundesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,810,Auto,Gut (starker Wind)
Bundesstrasse,14,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1418,Auto,Gut
Landesstrasse,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,845,Auto,Gut
Bundesstrasse,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1830,Fahrrad,Gut
Autobahn,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,männlich,754,Auto,Gut
Bundesstrasse,24,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1330,Transporter,Gut
Bundesstrasse,78,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1232,Auto,Gut
Bundesstrasse,33,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,631,Fahrrad,Gut
Bundesstrasse,53,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,810,Fahrrad,Gut
nicht klassifiziert,22,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1459,Auto,Gut
Bundesstrasse,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,2115,Mottorrad,Gut
nicht klassifiziert,52,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1312,Auto,Gut
Bundesstrasse,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2245,Auto,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1050,Fahrrad,Gut
Kraftfahrzeugstrasse,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,männlich,1044,Auto,Gut
Autobahn,45,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1210,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1755,Auto,Gut
Bundesstrasse,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1759,Mottorrad (50cc),Gut
nicht klassifiziert,26,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1100,Auto,Gut
nicht klassifiziert,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,928,Fahrrad,Gut
nicht klassifiziert,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1955,Taxi,Gut
nicht klassifiziert,59,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,3,nass / feucht,männlich,1848,Auto,Gut
nicht klassifiziert,56,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1618,Bus,Gut
Bundesstrasse,20,Passagier,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,230,Auto,Regen
nicht klassifiziert,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1759,Auto,Gut
Bundesstrasse,50,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,910,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,1640,Auto,Gut
nicht klassifiziert,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1605,Auto,Gut
nicht klassifiziert,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,815,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1311,Auto,Gut
Autobahn,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,trocken,weiblich,1915,Auto,Gut
nicht klassifiziert,15,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1500,Fahrrad,Gut
Bundesstrasse,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1555,Bus,Gut
Bundesstrasse,54,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,2005,Bus,Gut
Bundesstrasse,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1420,Fahrrad,Gut
Bundesstrasse,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1810,Auto,Gut
nicht klassifiziert,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,3,trocken,männlich,1723,Auto,Gut
nicht klassifiziert,8,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1627,Auto,Gut
nicht klassifiziert,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,1610,Auto,Gut
Kraftfahrzeugstrasse,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,weiblich,1525,Auto,Gut
nicht klassifiziert,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,740,Auto,Gut
Bundesstrasse,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1750,Fahrrad,Gut
Autobahn,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1205,Auto,Gut
Bundesstrasse,83,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1020,Auto,Gut
Bundesstrasse,59,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost / Eis,männlich,713,Transporter,Gut
Autobahn,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,männlich,1748,Auto,Gut
Bundesstrasse,44,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,2,1,trocken,männlich,2340,Auto,Gut
Autobahn,1,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1600,Auto,Gut
nicht klassifiziert,74,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1320,Auto,Gut
Bundesstrasse,41,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1145,Taxi,Gut
nicht klassifiziert,63,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,740,Auto,Gut
nicht klassifiziert,17,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1650,Mottorrad (125cc),Gut
Bundesstrasse,21,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2245,Auto,Gut
Bundesstrasse,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1505,Auto,Gut
nicht klassifiziert,36,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2220,Taxi,Gut
nicht klassifiziert,20,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1715,Auto,Gut
nicht klassifiziert,7,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1531,Auto,Gut
nicht klassifiziert,10,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1726,Auto,Gut
Bundesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1635,Mottorrad (50cc),Gut
Bundesstrasse,46,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,552,Auto,Gut
nicht klassifiziert,27,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1627,Auto,Gut
nicht klassifiziert,29,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1745,Mottorrad (500cc),Gut
nicht klassifiziert,14,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1917,Auto,Gut
nicht klassifiziert,28,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,40,Auto,Regen
Landesstrasse,41,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1450,Auto,Gut
nicht klassifiziert,33,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,7,Schnee,männlich,1430,Auto,Gut
Bundesstrasse,60,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,750,Auto,Gut
Bundesstrasse,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1915,Fahrrad,Gut
nicht klassifiziert,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1851,Fahrrad,Gut
Bundesstrasse,50,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1135,Auto,Gut
Kraftfahrzeugstrasse,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1024,Auto,Regen
Bundesstrasse,82,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1520,Bus,Gut
Bundesstrasse,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1925,Auto,Gut
Bundesstrasse,86,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1630,Auto,Gut
nicht klassifiziert,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,920,Mottorrad (50cc),Gut
Autobahn,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,840,Auto,Gut
nicht klassifiziert,7,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1530,Auto,Gut
nicht klassifiziert,50,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,1730,Auto,Gut
nicht klassifiziert,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1352,Auto,Gut
nicht klassifiziert,36,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1120,Auto,Gut
nicht klassifiziert,56,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,850,Auto,Regen
Bundesstrasse,51,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1120,Transporter,Gut
Bundesstrasse,33,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1930,Fahrrad,Regen
nicht klassifiziert,59,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,2,trocken,weiblich,1810,Auto,Gut
Bundesstrasse,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1540,Fahrrad,Gut
Bundesstrasse,40,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,männlich,1830,Auto,Regen
Autobahn,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,Frost / Eis,männlich,533,Auto,Gut
Bundesstrasse,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1300,Auto,Gut
nicht klassifiziert,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,640,Auto,Gut
nicht klassifiziert,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,1730,Mottorrad,Gut
Landesstrasse,22,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1912,Auto,Gut
Bundesstrasse,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,trocken,weiblich,1340,Auto,Gut
Bundesstrasse,23,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,5,2,trocken,weiblich,1745,Auto,Gut
Kraftfahrzeugstrasse,53,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,9,nass / feucht,männlich,655,Auto,Andere
Bundesstrasse,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,720,Auto,Gut
Bundesstrasse,51,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost / Eis,männlich,750,Auto,Gut
Bundesstrasse,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,845,Mottorrad (500cc),Gut
nicht klassifiziert,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1510,Auto,Gut
